,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,audio_features,6IO5nn84TKArsi3cjpIqaD,spotify:track:6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/audio-analysis/6IO5nn84TKArsi3cjpIqaD,242067,4
21,0.656,0.582,0,-5.85,1,0.0329,0.189,0.0,0.243,0.401,85.004,audio_features,3JzAKk0CpUlgzS1mPqzBwk,spotify:track:3JzAKk0CpUlgzS1mPqzBwk,https://api.spotify.com/v1/tracks/3JzAKk0CpUlgzS1mPqzBwk,https://api.spotify.com/v1/audio-analysis/3JzAKk0CpUlgzS1mPqzBwk,267587,4
22,0.652,0.846,10,-4.005,0,0.0374,0.0905,0.0,0.242,0.762,97.998,audio_features,0CZB07xMxIGRfCZT93ynFj,spotify:track:0CZB07xMxIGRfCZT93ynFj,https://api.spotify.com/v1/tracks/0CZB07xMxIGRfCZT93ynFj,https://api.spotify.com/v1/audio-analysis/0CZB07xMxIGRfCZT93ynFj,223600,4
23,0.456,0.873,7,-2.086,1,0.0496,0.0849,2.26e-06,0.051,0.604,205.959,audio_features,3mSqtn05vfpqAMpFTLsxpi,spotify:track:3mSqtn05vfpqAMpFTLsxpi,https://api.spotify.com/v1/tracks/3mSqtn05vfpqAMpFTLsxpi,https://api.spotify.com/v1/audio-analysis/3mSqtn05vfpqAMpFTLsxpi,239613,4
24,0.504,0.645,6,-3.244,1,0.0352,0.432,0.0,0.231,0.473,77.959,audio_features,6sElEqOIGENWjpxGFeo5ct,spotify:track:6sElEqOIGENWjpxGFeo5ct,https://api.spotify.com/v1/tracks/6sElEqOIGENWjpxGFeo5ct,https://api.spotify.com/v1/audio-analysis/6sElEqOIGENWjpxGFeo5ct,312053,4
25,0.786,0.482,6,-6.82,1,0.0477,0.156,0.0,0.34,0.617,89.992,audio_features,7xfPyBgb9om8iUooItxHl8,spotify:track:7xfPyBgb9om8iUooItxHl8,https://api.spotify.com/v1/tracks/7xfPyBgb9om8iUooItxHl8,https://api.spotify.com/v1/audio-analysis/7xfPyBgb9om8iUooItxHl8,174233,4
26,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,audio_features,6y4GYuZszeXNOXuBFsJlos,spotify:track:6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/tracks/6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426,4
27,0.799,0.676,2,-4.757,0,0.0564,0.0344,0.0,0.0991,0.663,108.004,audio_features,1ZGBwdBfy7M5XWGo4XoGlf,spotify:track:1ZGBwdBfy7M5XWGo4XoGlf,https://api.spotify.com/v1/tracks/1ZGBwdBfy7M5XWGo4XoGlf,https://api.spotify.com/v1/audio-analysis/1ZGBwdBfy7M5XWGo4XoGlf,146667,4
28,0.707,0.479,11,-6.088,1,0.0328,0.2,0.0,0.384,0.633,87.012,audio_features,6skNbV22epX2yHu4O2hYSx,spotify:track:6skNbV22epX2yHu4O2hYSx,https://api.spotify.com/v1/tracks/6skNbV22epX2yHu4O2hYSx,https://api.spotify.com/v1/audio-analysis/6skNbV22epX2yHu4O2hYSx,193709,4
29,0.595,0.642,11,-4.895,1,0.0544,0.178,0.0,0.091,0.562,157.674,audio_features,0Sp31BXc9dedQnfKYCiojE,spotify:track:0Sp31BXc9dedQnfKYCiojE,https://api.spotify.com/v1/tracks/0Sp31BXc9dedQnfKYCiojE,https://api.spotify.com/v1/audio-analysis/0Sp31BXc9dedQnfKYCiojE,186650,4
30,0.716,0.737,7,-5.671,0,0.0851,0.115,0.0,0.138,0.573,144.986,audio_features,7DTKSwO1kTAJDu9Q5U73UZ,spotify:track:7DTKSwO1kTAJDu9Q5U73UZ,https://api.spotify.com/v1/tracks/7DTKSwO1kTAJDu9Q5U73UZ,https://api.spotify.com/v1/audio-analysis/7DTKSwO1kTAJDu9Q5U73UZ,244107,4
31,0.629,0.91,11,-3.463,0,0.0507,0.0357,0.0,0.11,0.426,111.965,audio_features,0Ic9yiyHCoRCSvPoqTagat,spotify:track:0Ic9yiyHCoRCSvPoqTagat,https://api.spotify.com/v1/tracks/0Ic9yiyHCoRCSvPoqTagat,https://api.spotify.com/v1/audio-analysis/0Ic9yiyHCoRCSvPoqTagat,214587,4
32,0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,audio_features,172fMG26G2OoEzzg0wn26r,spotify:track:172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/tracks/172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/audio-analysis/172fMG26G2OoEzzg0wn26r,276373,4
33,0.422,0.969,7,-0.824,1,0.0591,0.00585,0.0,0.533,0.496,92.524,audio_features,7tGDXCPLpAScEwmqab9YZd,spotify:track:7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/tracks/7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/audio-analysis/7tGDXCPLpAScEwmqab9YZd,223187,4
34,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,audio_features,5KawlOMHjWeUjQtnuRs22c,spotify:track:5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,4
35,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,audio_features,5BC6kr6etk2Y9J62AyI4i3,spotify:track:5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/tracks/5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/audio-analysis/5BC6kr6etk2Y9J62AyI4i3,270027,4
36,0.681,0.603,6,-5.963,1,0.0304,0.157,0.0,0.126,0.261,98.951,audio_features,6D5E8pz4YKYrjY9BqROTox,spotify:track:6D5E8pz4YKYrjY9BqROTox,https://api.spotify.com/v1/tracks/6D5E8pz4YKYrjY9BqROTox,https://api.spotify.com/v1/audio-analysis/6D5E8pz4YKYrjY9BqROTox,271453,4
37,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,audio_features,4W29WmnGN1FlufURaBt8yw,spotify:track:4W29WmnGN1FlufURaBt8yw,https://api.spotify.com/v1/tracks/4W29WmnGN1FlufURaBt8yw,https://api.spotify.com/v1/audio-analysis/4W29WmnGN1FlufURaBt8yw,224806,4
38,0.635,0.578,8,-6.749,1,0.132,0.539,0.0,0.115,0.584,77.065,audio_features,25BJRpLBe3i6d8okphoRAm,spotify:track:25BJRpLBe3i6d8okphoRAm,https://api.spotify.com/v1/tracks/25BJRpLBe3i6d8okphoRAm,https://api.spotify.com/v1/audio-analysis/25BJRpLBe3i6d8okphoRAm,273893,4
39,0.438,0.646,1,-5.301,1,0.0361,0.124,0.0,0.0603,0.745,102.033,audio_features,2SihT7AVMiI2VtaAyVIcnO,spotify:track:2SihT7AVMiI2VtaAyVIcnO,https://api.spotify.com/v1/tracks/2SihT7AVMiI2VtaAyVIcnO,https://api.spotify.com/v1/audio-analysis/2SihT7AVMiI2VtaAyVIcnO,200219,4
40,0.583,0.627,1,-5.842,1,0.201,0.185,0.0,0.159,0.805,172.016,audio_features,6uUtmCz8XXep7n1QmC1jJG,spotify:track:6uUtmCz8XXep7n1QmC1jJG,https://api.spotify.com/v1/tracks/6uUtmCz8XXep7n1QmC1jJG,https://api.spotify.com/v1/audio-analysis/6uUtmCz8XXep7n1QmC1jJG,185379,4
